formula,property
AcIr3,0.742496493
ClTm3,0.893184174
OsLu3,0.348603846
NiN3,2.492257977
CDy3,1.419337676
RbAc3,0.391787344
DyPb3,0.206558307
BP3,1.221935368
ORe3,1.246273073
ThGd3,0.165798249
AgTc3,0.593880464
InBa3,0.122975508
AgPu3,0.443201373
SeMo3,0.694462909
NbNa3,0.944795437
PmAc3,0.151872281
HfS3,0.94344792
GdPr3,0.128957395
TcOs3,0.773056416
VTa3,0.101833716
ScOs3,0.542164666
SrPb3,0.160207395
GdRu3,0.493173142
AuYb3,0.292935084
HgK3,0.057289558
KNd3,0.470926165
MoSn3,0.59287694
SAl3,0.672177692
YbAs3,0.411235455
PdTb3,0.694474358
AsRu3,0.470160574
IrPm3,0.383498979
AsLi3,0.021995455
PAu3,0.44417926
PuCa3,0.27305576
ScNb3,0.158511941
FeHf3,0.36364562
PdSc3,0.245158744
AgSb3,0.258900308
ErCe3,0.123479412
STi3,0.722889902
TlNd3,0.159255295
HgBi3,0.157087195
PmTa3,0.496707502
ReNd3,0.472760673
SeAs3,0.491830866
RbPa3,1.373895688
OPt3,0.769259701
FBe3,1.77331211
TaZn3,0.363996483
EuN3,2.341155888
SBe3,1.34365819
ErLi3,0.241217973
NbZn3,0.3414909
CdTi3,0.178825604
AuCo3,0.571745615
ClNi3,0.820048441
YTe3,0.52021907
AlTc3,0.189689544
TeCo3,0.475325544
SmIn3,0.291223408
CaPa3,0.649289335
CdGa3,0.090242096
CeOs3,1.034561954
ClO3,1.861500798
CaTm3,0.193636345
EuAl3,0.265359068
ScPr3,0.132513666
BPa3,0.556195551
IC3,3.896244444
PNd3,0.680098138
TiCe3,0.315515901
RhRe3,0.517489957
GaBa3,0.223573888
YbAl3,0.224801757
ZnPb3,0.132095903
PdMg3,0.06362031
PdK3,0.174323705
TmSn3,0.261247431
KTh3,0.739458341
ErSm3,0.137464412
VIn3,0.415635918
BiPt3,0.161435513
HCs3,0.448809283
DyP3,0.798687837
GdSc3,0.108110562
AgMo3,0.580585508
AlLa3,0.174098054
FPb3,0.332348749
PaAs3,0.530023635
NdAl3,0.388131678
