,Fe,Co,Ni,Au,Cu,Cd,Zn,Tl,In,Al,Ga,Pb,Sn,Ge,Si,Bi,Sb,As,P,S
S,0.7431209269282218,0.7494518313570888,0.7830945196899973,0.879519513112124,0.8610742510653644,0.9124010627289679,0.832645559894073,0.9319160292217338,0.9114943969606716,0.7888953787029992,0.800054184731543,0.921512038813742,0.9467098654714068,0.908065756713421,0.8959316497980058,0.9497960050129887,0.9578869557804085,0.900550655049481,0.9168196491395628,1.0
P,0.8314161714014898,0.8427060188044099,0.8759241188116336,0.9455513615835756,0.9037413485381574,0.8730298076968145,0.8686363210821917,0.837840145518833,0.8516832331774481,0.797004639078469,0.8200839904890628,0.8466075461283145,0.8869535478705208,0.9064402781912199,0.9135352251187859,0.9102381949004649,0.9564093426463368,0.986288791501637,1.0,0.9168196491395628
As,0.826974023360338,0.8432913368706558,0.8781762601156079,0.9470213616692091,0.8932342382334941,0.8588765445192643,0.8755424135557051,0.8079023662676047,0.8350025080624475,0.7904384061011333,0.8299227736787902,0.8097635340809107,0.8726629570145131,0.9121914618027818,0.9078065160811342,0.8905469600588464,0.9500311028311264,1.0,0.986288791501637,0.900550655049481
Sb,0.8361567450412403,0.8434263727193508,0.8770238779424658,0.9451293242390121,0.930370272213329,0.943030569636945,0.8974308491214019,0.927107350146102,0.9237241977622008,0.8261442222851846,0.8524018413732608,0.919058814175976,0.9550672402354331,0.9388623613058065,0.9426990301982624,0.9759984786311424,1.0,0.9500311028311264,0.9564093426463368,0.9578869557804085
Bi,0.8219824436161386,0.8212852525197906,0.8518134562739189,0.909740388500392,0.9306416569201579,0.9505525197470072,0.8787733662433963,0.9603714538897432,0.9251137930623383,0.8113099568600944,0.818535030481845,0.9448290191370526,0.9518000865188369,0.909392869841522,0.9271489542513318,1.0,0.9759984786311424,0.8905469600588464,0.9102381949004649,0.9497960050129887
Si,0.8377159819855148,0.8438209579783571,0.8786821045802388,0.9276012262295923,0.9304303624518336,0.9448381465627967,0.9390053009765176,0.9077983788472882,0.9302405709082725,0.9262113917954378,0.9220996526493929,0.8774396161604878,0.9405502755084431,0.9663425333541621,1.0,0.9271489542513318,0.9426990301982624,0.9078065160811342,0.9135352251187859,0.8959316497980058
Ge,0.799828621251534,0.8107553232911265,0.8478019748287058,0.9218874495454766,0.8984077366251711,0.9446164613390604,0.9420930331168987,0.8925976182481851,0.9399832031648946,0.9035890237633287,0.9432375282637903,0.8638362731332407,0.9536466015792582,1.0,0.9663425333541621,0.909392869841522,0.9388623613058065,0.9121914618027818,0.9064402781912199,0.908065756713421
Sn,0.756291298654064,0.7647036087365786,0.7971063537079321,0.8899001763998063,0.8853512824043241,0.9719827071368841,0.8926467268039063,0.9634330431424237,0.9797485747877763,0.8785229701301565,0.8931567483808784,0.9369686091562953,1.0,0.9536466015792582,0.9405502755084431,0.9518000865188369,0.9550672402354331,0.8726629570145131,0.8869535478705208,0.9467098654714068
Pb,0.7418171410931308,0.7413504324765606,0.7758973858100429,0.8306399479052006,0.8798880997739102,0.9340315763642039,0.8223066688526692,0.9604432291926381,0.9303126237444037,0.7985077148971206,0.7874525703700208,1.0,0.9369686091562953,0.8638362731332407,0.8774396161604878,0.9448290191370526,0.919058814175976,0.8097635340809107,0.8466075461283145,0.921512038813742
Ga,0.7517604199923656,0.7708811402992873,0.8076183578983038,0.8708884381252953,0.8530086032405707,0.9178703093427719,0.9379665929132005,0.8323409142281329,0.9137043334964149,0.9312600501060431,1.0,0.7874525703700208,0.8931567483808784,0.9432375282637903,0.9220996526493929,0.818535030481845,0.8524018413732608,0.8299227736787902,0.8200839904890628,0.800054184731543
Al,0.6840543980034135,0.7017851701989961,0.7422513919037079,0.8282993930553947,0.8132909035588322,0.8924683854583974,0.8682220086213562,0.8393158362513623,0.8982003972677233,1.0,0.9312600501060431,0.7985077148971206,0.8785229701301565,0.9035890237633287,0.9262113917954378,0.8113099568600944,0.8261442222851846,0.7904384061011333,0.797004639078469,0.7888953787029992
In,0.7414645707273352,0.7507101375945349,0.7860446119077108,0.8720323706189628,0.8805259280325957,0.9839453739740562,0.9038524328504127,0.967555576705074,1.0,0.8982003972677233,0.9137043334964149,0.9303126237444037,0.9797485747877763,0.9399832031648946,0.9302405709082725,0.9251137930623383,0.9237241977622008,0.8350025080624475,0.8516832331774481,0.9114943969606716
Tl,0.7411692988333649,0.7419291786753052,0.772747298730032,0.8461481590742943,0.8830504376616427,0.9689105439783825,0.8603134886589449,1.0,0.967555576705074,0.8393158362513623,0.8323409142281329,0.9604432291926381,0.9634330431424237,0.8925976182481851,0.9077983788472882,0.9603714538897432,0.927107350146102,0.8079023662676047,0.837840145518833,0.9319160292217338
Zn,0.8775344623217219,0.885866291262544,0.9097525644083942,0.9300452686297956,0.93773635889838,0.9345761845618533,1.0,0.8603134886589449,0.9038524328504127,0.8682220086213562,0.9379665929132005,0.8223066688526692,0.8926467268039063,0.9420930331168987,0.9390053009765176,0.8787733662433963,0.8974308491214019,0.8755424135557051,0.8686363210821917,0.832645559894073
Cd,0.7962937334471826,0.8068114193759832,0.8404787814290833,0.9056348687293047,0.9223107594910244,1.0,0.9345761845618533,0.9689105439783825,0.9839453739740562,0.8924683854583974,0.9178703093427719,0.9340315763642039,0.9719827071368841,0.9446164613390604,0.9448381465627967,0.9505525197470072,0.943030569636945,0.8588765445192643,0.8730298076968145,0.9124010627289679
Cu,0.9323994344232326,0.9328058652236382,0.9585465862220134,0.9481515520478274,1.0,0.9223107594910244,0.93773635889838,0.8830504376616427,0.8805259280325957,0.8132909035588322,0.8530086032405707,0.8798880997739102,0.8853512824043241,0.8984077366251711,0.9304303624518336,0.9306416569201579,0.930370272213329,0.8932342382334941,0.9037413485381574,0.8610742510653644
Au,0.8869694031646046,0.898076378679649,0.9275848928871607,1.0,0.9481515520478274,0.9056348687293047,0.9300452686297956,0.8461481590742943,0.8720323706189628,0.8282993930553947,0.8708884381252953,0.8306399479052006,0.8899001763998063,0.9218874495454766,0.9276012262295923,0.909740388500392,0.9451293242390121,0.9470213616692091,0.9455513615835756,0.879519513112124
Ni,0.9651439168456302,0.9720511572363879,1.0,0.9275848928871607,0.9585465862220134,0.8404787814290833,0.9097525644083942,0.772747298730032,0.7860446119077108,0.7422513919037079,0.8076183578983038,0.7758973858100429,0.7971063537079321,0.8478019748287058,0.8786821045802388,0.8518134562739189,0.8770238779424658,0.8781762601156079,0.8759241188116336,0.7830945196899973
Co,0.981003748828885,1.0,0.9720511572363879,0.898076378679649,0.9328058652236382,0.8068114193759832,0.885866291262544,0.7419291786753052,0.7507101375945349,0.7017851701989961,0.7708811402992873,0.7413504324765606,0.7647036087365786,0.8107553232911265,0.8438209579783571,0.8212852525197906,0.8434263727193508,0.8432913368706558,0.8427060188044099,0.7494518313570888
Fe,1.0,0.981003748828885,0.9651439168456302,0.8869694031646046,0.9323994344232326,0.7962937334471826,0.8775344623217219,0.7411692988333649,0.7414645707273352,0.6840543980034135,0.7517604199923656,0.7418171410931308,0.756291298654064,0.799828621251534,0.8377159819855148,0.8219824436161386,0.8361567450412403,0.826974023360338,0.8314161714014898,0.7431209269282218
