,Sc,Lu,Y,Zr,Hf,Ti,Ta,Nb,V,W,Mo,Cr,Mn
Mn,0.8798816922743686,0.8717416647445225,0.8079958434048358,0.7749048291632112,0.8777296592030772,0.8583884113799541,0.8982663105527654,0.9110127020012754,0.904612682131446,0.894815548815441,0.9560114832986796,0.9307281530101874,1.0
Cr,0.8507814446987997,0.8705414357050156,0.7764981643799547,0.7450855458177879,0.8716042856113907,0.8365593568245514,0.8781679874740418,0.8845329020081927,0.8866716536415744,0.8640820749406585,0.9142494403426342,1.0,0.9307281530101874
Mo,0.8825933121014867,0.8749364184787453,0.7822880572472529,0.7780933144721893,0.8905190590040793,0.8630529359765131,0.9311691523685132,0.9481706869768767,0.9052047971079106,0.9233241801779419,1.0,0.9142494403426342,0.9560114832986796
W,0.8244852247332718,0.8210486776766268,0.836296397359624,0.8624199980818517,0.8252241794820983,0.8411540962396437,0.9124414991629488,0.8755613065940006,0.9038512336283167,1.0,0.9233241801779419,0.8640820749406585,0.894815548815441
V,0.8919602044651531,0.8585782730690809,0.8053714090797396,0.83412554367458,0.879235584985576,0.9640074367928937,0.9465062244937426,0.9258213660630089,1.0,0.9038512336283167,0.9052047971079106,0.8866716536415744,0.904612682131446
Nb,0.9362196337474512,0.9046199427313539,0.7723066412442176,0.7904667880660956,0.9317106063333371,0.9270805022247056,0.9635137097751311,1.0,0.9258213660630089,0.8755613065940006,0.9481706869768767,0.8845329020081927,0.9110127020012754
Ta,0.9118815682265434,0.8781844563980771,0.7871683411189595,0.8106532326652275,0.9035419762914105,0.9342009597158738,1.0,0.9635137097751311,0.9465062244937426,0.9124414991629488,0.9311691523685132,0.8781679874740418,0.8982663105527654
Ti,0.9197010173578796,0.8591389041322803,0.7715980794899395,0.8207067254096838,0.8786994723474884,1.0,0.9342009597158738,0.9270805022247056,0.9640074367928937,0.8411540962396437,0.8630529359765131,0.8365593568245514,0.8583884113799541
Hf,0.8961151767053781,0.9387354954912349,0.7341788451873228,0.7257408660667405,1.0,0.8786994723474884,0.9035419762914105,0.9317106063333371,0.879235584985576,0.8252241794820983,0.8905190590040793,0.8716042856113907,0.8777296592030772
Zr,0.8030926650784683,0.7604643589230901,0.9066856870278971,1.0,0.7257408660667405,0.8207067254096838,0.8106532326652275,0.7904667880660956,0.83412554367458,0.8624199980818517,0.7780933144721893,0.7450855458177879,0.7749048291632112
Y,0.8294727120306233,0.8251479992104275,1.0,0.9066856870278971,0.7341788451873228,0.7715980794899395,0.7871683411189595,0.7723066412442176,0.8053714090797396,0.836296397359624,0.7822880572472529,0.7764981643799547,0.8079958434048358
Lu,0.9297707648913488,1.0,0.8251479992104275,0.7604643589230901,0.9387354954912349,0.8591389041322803,0.8781844563980771,0.9046199427313539,0.8585782730690809,0.8210486776766268,0.8749364184787453,0.8705414357050156,0.8717416647445225
Sc,1.0,0.9297707648913488,0.8294727120306233,0.8030926650784683,0.8961151767053781,0.9197010173578796,0.9118815682265434,0.9362196337474512,0.8919602044651531,0.8244852247332718,0.8825933121014867,0.8507814446987997,0.8798816922743686
