formula,property
Cr-Cr-Al-C,-0.0024826135
Cr-Cr-Al-N,0.36587843
Cr-Cr-As-C,0.100373454
Cr-Cr-As-N,0.16807404
Cr-Cr-Au-C,0.10297419
Cr-Cr-Au-N,0.16740598
Cr-Cr-Bi-C,0.35783508
Cr-Cr-Bi-N,0.4054857
Cr-Cr-Cd-C,0.14925234
Cr-Cr-Cd-N,0.192966
Cr-Cr-Co-C,0.15175524
Cr-Cr-Co-N,0.1801228
Cr-Cr-Cu-C,0.1905476
Cr-Cr-Cu-N,0.22669356
Cr-Cr-Fe-C,0.13711385
Cr-Cr-Fe-N,0.16418293
Cr-Cr-Ga-C,-0.00081070466
Cr-Cr-Ga-N,0.056525823
Cr-Cr-Ge-C,0.033217624
Cr-Cr-Ge-N,0.08500556
Cr-Cr-In-C,0.11337617
Cr-Cr-In-N,0.17161849
Cr-Cr-Ni-C,0.16301715
Cr-Cr-Ni-N,0.16247562
Cr-Cr-P-C,0.14911142
Cr-Cr-P-N,0.19849528
Cr-Cr-Pb-C,0.32791832
Cr-Cr-Pb-N,0.3819368
Cr-Cr-S-C,0.17361419
Cr-Cr-S-N,0.22036503
Cr-Cr-Sb-C,0.2088137
Cr-Cr-Sb-N,0.30155304
Cr-Cr-Si-C,0.12495069
Cr-Cr-Si-N,0.28159788
Cr-Cr-Sn-C,0.15739557
Cr-Cr-Sn-N,0.18427652
Cr-Cr-Tl-C,0.30690742
Cr-Cr-Tl-N,0.34993786
Cr-Cr-Zn-C,0.077541545
Cr-Cr-Zn-N,0.06344083
Cr-Hf-Al-C,-0.0066840653
Cr-Hf-Al-N,0.21569823
Cr-Hf-As-C,0.09644418
Cr-Hf-As-N,0.1783681
Cr-Hf-Au-C,0.08158416
Cr-Hf-Au-N,0.12442274
Cr-Hf-Bi-C,0.30118552
Cr-Hf-Bi-N,0.41344216
Cr-Hf-Cd-C,0.15874335
Cr-Hf-Cd-N,0.19742836
Cr-Hf-Co-C,0.04780726
Cr-Hf-Co-N,0.13255438
Cr-Hf-Cu-C,0.09944926
Cr-Hf-Cu-N,0.19533874
Cr-Hf-Fe-C,0.07259393
Cr-Hf-Fe-N,0.13221583
Cr-Hf-Ga-C,-0.015515518
Cr-Hf-Ga-N,0.06022604
Cr-Hf-Ge-C,0.032861114
Cr-Hf-Ge-N,0.1317334
Cr-Hf-In-C,0.14376535
Cr-Hf-In-N,0.1383237
Cr-Hf-Ni-C,0.074946
Cr-Hf-Ni-N,0.12289336
Cr-Hf-P-C,0.14481308
Cr-Hf-P-N,0.22034168
Cr-Hf-Pb-C,0.3368493
Cr-Hf-Pb-N,0.33250502
Cr-Hf-S-C,0.20081343
Cr-Hf-S-N,0.21958654
Cr-Hf-Sb-C,0.20681354
Cr-Hf-Sb-N,0.27625194
Cr-Hf-Si-C,0.086010665
Cr-Hf-Si-N,0.2158039
Cr-Hf-Sn-C,0.11094341
Cr-Hf-Sn-N,0.23972754
